Ticker,Date,LastPrice,Volume
ESS,2023-05-05,220.0,283719.0
EXC,2023-05-05,42.85,3849846.0
EXR,2023-05-05,154.74,1.0
XOM,2023-05-05,108.68,3542.0
FDS,2023-05-05,405.85,240781.0
FRT,2023-05-05,96.34,4.0
FDX,2023-05-05,229.3,26.0
FIS,2023-05-05,55.75,4910413.0
FLT,2023-05-05,231.19,811018.0
FMC,2023-05-05,113.49,200.0
FTV,2023-05-05,64.72,2427467.0
FOX,2023-05-05,29.39,764820.0
BEN,2023-05-05,25.54,2766755.0
FCX,2023-05-05,36.47,915.0
GEN,2023-05-05,17.15,4103557.0
GIS,2023-05-05,89.81,6.0
GPC,2023-05-05,173.73,821542.0
GPN,2023-05-05,104.78,5.0
HAL,2023-05-05,29.88,1505.0
HIG,2023-05-05,69.73,1455267.0
HAS,2023-05-05,60.38,1823773.0
HCA,2023-05-05,278.06,6.0
HSY,2023-05-05,275.33,34.0
HES,2023-05-05,136.3,150.0
HPE,2023-05-05,14.11,755.0
HLT,2023-05-05,144.61,1.0
HON,2023-05-05,198.42,2087785.0
HRL,2023-05-05,41.2,100.0
HST,2023-05-05,17.76,8677510.0
HWM,2023-05-05,44.0,3155361.0
HPQ,2023-05-05,30.13,598.0
HUM,2023-05-05,535.02,40.0
HII,2023-05-05,197.51,44.0
IBM,2023-05-05,123.65,1116.0
IEX,2023-05-05,210.93,367280.0
ITW,2023-05-05,230.31,10.0
ICE,2023-05-05,108.31,2010270.0
IFF,2023-05-05,96.45,1428263.0
IPG,2023-05-05,35.59,4171198.0
IVZ,2023-05-05,16.57,20.0
IQV,2023-05-05,188.52,960558.0
IRM,2023-05-05,56.39,35.0
JNJ,2023-05-05,162.68,938.0
JCI,2023-05-05,62.09,6385716.0
JPM,2023-05-05,136.74,2485.0
KDP,2023-05-05,33.23,11869785.0
KEY,2023-05-05,9.83,10585.0
KMB,2023-05-05,145.18,10.0
KIM,2023-05-05,18.81,2.0
KMI,2023-05-05,17.04,2331.0
KHC,2023-05-05,41.32,7676899.0
LHX,2023-05-05,187.73,30.0
LVS,2023-05-05,61.65,285.0
LEN,2023-05-05,113.44,81.0
LNC,2023-05-05,20.46,6.0
LIN,2023-05-05,366.37,19.0
LYV,2023-05-05,77.16,59.0
LKQ,2023-05-05,57.07,640465.0
LMT,2023-05-05,455.54,664.0
LOW,2023-05-05,205.81,13.0
LYB,2023-05-05,92.4,1383330.0
MTB,2023-05-05,118.58,3.0
MRO,2023-05-05,22.93,3548.0
MPC,2023-05-05,106.9,645.0
MAR,2023-05-05,176.57,1638323.0
MMC,2023-05-05,179.36,1102538.0
MLM,2023-05-05,397.66,34.0
MAS,2023-05-05,53.45,1440126.0
MKC,2023-05-05,88.95,1.0
MCD,2023-05-05,296.6,426.0
MCK,2023-05-05,365.87,68.0
MDT,2023-05-05,90.06,133.0
MRK,2023-05-05,117.68,302.0
MET,2023-05-05,54.66,1529.0
MTD,2023-05-05,1424.99,237497.0
MGM,2023-05-05,43.14,1017.0
MAA,2023-05-05,152.39,2.0
MHK,2023-05-05,100.22,545078.0
MOH,2023-05-05,299.53,369975.0
TAP,2023-05-05,64.89,38.0
MCO,2023-05-05,304.64,873666.0
MOS,2023-05-05,39.11,402.0
MSI,2023-05-05,281.56,6.0
NWL,2023-05-05,10.11,8480373.0
NEM,2023-05-05,48.72,1570.0
NWS,2023-05-05,17.26,700815.0
NEE,2023-05-05,75.51,182.0
NKE,2023-05-05,126.59,297.0
NSC,2023-05-05,208.72,2.0
NOC,2023-05-05,446.81,43.0
NRG,2023-05-05,31.28,61.0
NUE,2023-05-05,142.32,60.0
NVR,2023-05-05,5852.47,19005.0
OXY,2023-05-05,60.69,19000.0
OMC,2023-05-05,89.75,1555749.0
OKE,2023-05-05,64.51,5.0
OGN,2023-05-05,22.52,88.0
PKG,2023-05-05,135.37,536329.0
PNR,2023-05-05,57.87,872657.0
PEP,2023-05-05,194.27,4146480.0
PKI,2023-05-05,129.87,818061.0
PFE,2023-05-05,38.49,3716.0
PCG,2023-05-05,17.27,54.0
PSX,2023-05-05,93.44,1.0
PNW,2023-05-05,80.12,3.0
PXD,2023-05-05,212.22,1112.0
PNC,2023-05-05,116.18,728.0
PPG,2023-05-05,138.03,100.0
PPL,2023-05-05,28.75,5717271.0
PFG,2023-05-05,71.51,1227132.0
PGR,2023-05-05,129.52,8.0
PLD,2023-05-05,127.25,54.0
PRU,2023-05-05,82.05,283.0
PEG,2023-05-05,63.82,1739709.0
PTC,2023-05-05,129.06,814731.0
PSA,2023-05-05,295.91,2.0
PHM,2023-05-05,67.02,70.0
PWR,2023-05-05,171.07,3.0
DGX,2023-05-05,136.51,1059257.0
RJF,2023-05-05,86.2,1258905.0
RTX,2023-05-05,96.58,390.0
REG,2023-05-05,60.74,902434.0
RSG,2023-05-05,145.86,1482882.0
RMD,2023-05-05,231.65,5.0
RHI,2023-05-05,69.0,1003479.0
ROK,2023-05-05,283.42,34.0
ROL,2023-05-05,41.77,1163617.0
ROP,2023-05-05,458.12,329669.0
RCL,2023-05-05,75.61,2417.0
CRM,2023-05-05,197.59,1915.0
SLB,2023-05-05,45.75,193.0
STX,2023-05-05,55.94,1564387.0
SEE,2023-05-05,42.54,1136500.0
SRE,2023-05-05,154.92,22.0
NOW,2023-05-05,434.8,170.0
SHW,2023-05-05,230.84,1007861.0
SPG,2023-05-05,109.55,4.0
SJM,2023-05-05,158.2,650500.0
SNA,2023-05-05,260.81,231252.0
LUV,2023-05-05,29.66,7080.0
SWK,2023-05-05,85.47,22.0
STT,2023-05-05,68.5,1.0
STE,2023-05-05,189.18,508786.0
SYK,2023-05-05,284.71,2.0
SYF,2023-05-05,27.34,6.0
SYY,2023-05-05,76.77,1.0
TPR,2023-05-05,38.97,292.0
TGT,2023-05-05,156.3,304.0
TEL,2023-05-05,122.94,1661204.0
TDY,2023-05-05,413.0,135869.0
TFX,2023-05-05,257.95,1.0
TER,2023-05-05,92.63,2098718.0
TXN,2023-05-05,165.82,5548663.0
TXT,2023-05-05,66.15,2.0
TMO,2023-05-05,546.38,9.0
TJX,2023-05-05,78.5,72.0
TDG,2023-05-05,767.19,281741.0
TRV,2023-05-05,182.3,1016065.0
TFC,2023-05-05,28.69,9309.0
TYL,2023-05-05,389.74,249954.0
TSN,2023-05-05,60.69,2067.0
USB,2023-05-05,30.74,14839.0
UDR,2023-05-05,41.33,2405877.0
UNP,2023-05-05,201.23,12.0
UAL,2023-05-05,44.81,7765676.0
UPS,2023-05-05,175.74,7.0
URI,2023-05-05,342.05,24.0
UNH,2023-05-05,494.28,876.0
UHS,2023-05-05,142.8,10.0
VLO,2023-05-05,107.04,138.0
VTR,2023-05-05,47.85,1902131.0
VFC,2023-05-05,22.12,367.0
VMC,2023-05-05,193.57,4.0
WAB,2023-05-05,99.17,1287185.0
WBA,2023-05-05,32.17,6666045.0
WMT,2023-05-05,151.77,1959.0
WBD,2023-05-05,12.89,43776214.0
WAT,2023-05-05,296.79,564484.0
WEC,2023-05-05,96.01,899845.0
WFC,2023-05-05,37.94,3634.0
WST,2023-05-05,368.46,269696.0
WDC,2023-05-05,33.45,3032193.0
WRK,2023-05-05,28.45,506.0
WHR,2023-05-05,137.02,110.0
WMB,2023-05-05,30.18,82.0
WTW,2023-05-05,227.82,349472.0
GWW,2023-05-05,675.51,236715.0
XEL,2023-05-05,69.57,2147879.0
XYL,2023-05-05,108.97,568.0
YUM,2023-05-05,137.49,4.0
ZBH,2023-05-05,137.91,2008.0
ZTS,2023-05-05,186.23,5.0
