0,1,2
MTD,2023-05-05,1424.99
MGM,2023-05-05,43.14
MAA,2023-05-05,152.39
MHK,2023-05-05,100.22
MOH,2023-05-05,299.53
TAP,2023-05-05,64.89
MCO,2023-05-05,304.64
MOS,2023-05-05,39.11
MSI,2023-05-05,281.56
NWL,2023-05-05,10.11
NEM,2023-05-05,48.72
NWS,2023-05-05,17.26
NEE,2023-05-05,75.51
NKE,2023-05-05,126.59
NSC,2023-05-05,208.72
NOC,2023-05-05,446.81
NRG,2023-05-05,31.28
NUE,2023-05-05,142.32
NVR,2023-05-05,5852.47
OXY,2023-05-05,60.69
OMC,2023-05-05,89.75
OKE,2023-05-05,64.51
OGN,2023-05-05,22.52
PKG,2023-05-05,135.37
PNR,2023-05-05,57.87
PEP,2023-05-05,194.27
PKI,2023-05-05,129.87
PFE,2023-05-05,38.49
PCG,2023-05-05,17.27
PSX,2023-05-05,93.44
PNW,2023-05-05,80.12
PXD,2023-05-05,212.22
PNC,2023-05-05,116.18
PPG,2023-05-05,138.03
PPL,2023-05-05,28.75
PFG,2023-05-05,71.51
PGR,2023-05-05,129.52
PLD,2023-05-05,127.25
PRU,2023-05-05,82.05
PEG,2023-05-05,63.82
PTC,2023-05-05,129.06
PSA,2023-05-05,295.91
PHM,2023-05-05,67.02
PWR,2023-05-05,171.07
DGX,2023-05-05,136.51
RJF,2023-05-05,86.2
RTX,2023-05-05,96.58
REG,2023-05-05,60.74
RSG,2023-05-05,145.86
RMD,2023-05-05,231.65
RHI,2023-05-05,69.0
ROK,2023-05-05,283.42
ROL,2023-05-05,41.77
ROP,2023-05-05,458.12
RCL,2023-05-05,75.61
CRM,2023-05-05,197.59
SLB,2023-05-05,45.75
STX,2023-05-05,55.94
SEE,2023-05-05,42.54
SRE,2023-05-05,154.92
NOW,2023-05-05,434.8
SHW,2023-05-05,230.84
SPG,2023-05-05,109.55
SJM,2023-05-05,158.2
SNA,2023-05-05,260.81
LUV,2023-05-05,29.66
SWK,2023-05-05,85.47
STT,2023-05-05,68.5
STE,2023-05-05,189.18
SYK,2023-05-05,284.71
SYF,2023-05-05,27.34
SYY,2023-05-05,76.77
TPR,2023-05-05,38.97
TGT,2023-05-05,156.3
TEL,2023-05-05,122.94
TDY,2023-05-05,413.0
TFX,2023-05-05,257.95
TER,2023-05-05,92.63
TXN,2023-05-05,165.82
TXT,2023-05-05,66.15
TMO,2023-05-05,546.38
TJX,2023-05-05,78.5
TDG,2023-05-05,767.19
TRV,2023-05-05,182.3
TFC,2023-05-05,28.69
TYL,2023-05-05,389.74
TSN,2023-05-05,60.69
USB,2023-05-05,30.74
UDR,2023-05-05,41.33
UNP,2023-05-05,201.23
UAL,2023-05-05,44.81
UPS,2023-05-05,175.74
URI,2023-05-05,342.05
UNH,2023-05-05,494.28
UHS,2023-05-05,142.8
VLO,2023-05-05,107.04
VTR,2023-05-05,47.85
VFC,2023-05-05,22.12
VMC,2023-05-05,193.57
WAB,2023-05-05,99.17
WBA,2023-05-05,32.17
